Fallow Deer,Trivial,Female,39.1815 kg,0 TR,Spotted Red  
Red Deer,Minor,Female,148.662 kg,0 TR,Dark Brown   
Axis Deer,Trivial,Female,34.6722 kg,0 TR,Spotted
Sambar,Trivial,Female,194.535 kg,0 TR,Brown        
Hog Deer,Trivial,Female,30.5296 kg,0 TR,Brown        
Sambar,Trivial,Female,191.139 kg,0 TR,Light Brown  
Fallow Deer,Trivial,Female,40.4714 kg,0 TR,Dark Spotted
Fallow Deer,Trivial,Female,40.3352 kg,0 TR,Dark Spotted
Axis Deer,Trivial,Female,33.687 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,39.1393 kg,0 TR,Spotted
Sambar,Trivial,Female,199.576 kg,0 TR,Dusky Gradient
Sambar,Trivial,Female,207.03 kg,0 TR,Light Brown  
Red Deer,Minor,Female,150.613 kg,0 TR,Brown        
Red Deer,Trivial,Female,144.229 kg,0 TR,Dark Brown   
Sambar,Trivial,Female,205.193 kg,0 TR,Dark Brown   
Sambar,Trivial,Female,213.605 kg,0 TR,Dark Brown   
Hog Deer,Trivial,Female,29.8453 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,38.9994 kg,0 TR,Spotted
Axis Deer,Trivial,Female,32.8531 kg,0 TR,Spotted
Hog Deer,Trivial,Female,30.8467 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,38.587 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,39.8507 kg,0 TR,Spotted Red  
Sambar,Trivial,Female,212.118 kg,0 TR,Dark Brown   
Axis Deer,Trivial,Female,30.7101 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,36.5945 kg,0 TR,Spotted Red  
Sambar,Trivial,Female,197.638 kg,0 TR,Dusky Gradient
Fallow Deer,Trivial,Female,49.4703 kg,0 TR,Spotted Red  
Red Deer,Trivial,Female,146.252 kg,0 TR,Brown        
Red Deer,Minor,Female,157.33 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,42.7128 kg,0 TR,Spotted Red  
Axis Deer,Trivial,Female,35.0634 kg,0 TR,Orange       
Hog Deer,Trivial,Female,29.1846 kg,0 TR,Brown        
Axis Deer,Trivial,Female,30.9881 kg,0 TR,Spotted
Axis Deer,Trivial,Female,33.9131 kg,0 TR,Spotted
Red Deer,Minor,Female,154.213 kg,0 TR,Dark Brown   
Hog Deer,Trivial,Female,28.9122 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,38.4099 kg,0 TR,Spotted Red  
Hog Deer,Trivial,Female,31.4398 kg,0 TR,Spotted
Hog Deer,Trivial,Female,32.1482 kg,0 TR,Brown        
Red Deer,Trivial,Female,130.547 kg,0 TR,Dark Brown   
Fallow Deer,Trivial,Female,37.3168 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,39.6431 kg,0 TR,Spotted
Axis Deer,Trivial,Female,35.8321 kg,0 TR,Spotted
Sambar,Trivial,Female,207.859 kg,0 TR,Dark Brown   
Red Deer,Trivial,Female,145.938 kg,0 TR,Dark Brown   
Red Deer,Minor,Female,152.236 kg,0 TR,Brown        
Sambar,Trivial,Female,203.226 kg,0 TR,Light Brown  
Sambar,Trivial,Female,214.528 kg,0 TR,Light Brown  
Sambar,Trivial,Female,203.471 kg,0 TR,Brown        
Red Deer,Trivial,Female,147.272 kg,0 TR,Gray         
Fallow Deer,Trivial,Female,41.4843 kg,0 TR,Spotted
Red Deer,Trivial,Female,143.637 kg,0 TR,Dark Brown   
Hog Deer,Trivial,Female,29.6613 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,41.1362 kg,0 TR,Spotted
Red Deer,Minor,Female,147.687 kg,0 TR,Brown        
Red Deer,Trivial,Female,129.392 kg,0 TR,Brown        
Red Deer,Trivial,Female,144.272 kg,0 TR,Gray         
Hog Deer,Trivial,Female,30.7402 kg,0 TR,Brown        
Sambar,Trivial,Female,209.694 kg,0 TR,Light Brown  
Red Deer,Minor,Female,153.531 kg,0 TR,Brown        
Axis Deer,Trivial,Female,34.5462 kg,0 TR,Spotted
Hog Deer,Trivial,Female,30.588 kg,0 TR,Brown        
Axis Deer,Trivial,Female,38.7389 kg,0 TR,Spotted
Sambar,Trivial,Female,203.458 kg,0 TR,Dark Brown   
Axis Deer,Trivial,Female,34.9776 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,37.9134 kg,0 TR,Spotted Red  
Sambar,Trivial,Female,200.333 kg,0 TR,Dusky Gradient
Red Deer,Trivial,Female,127.982 kg,0 TR,Dark Brown   
Hog Deer,Trivial,Female,29.1439 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,36.6511 kg,0 TR,Spotted Red  
Red Deer,Minor,Female,155.642 kg,0 TR,Dark Brown   
Hog Deer,Trivial,Female,29.9065 kg,0 TR,Brown        
Axis Deer,Trivial,Female,35.6472 kg,0 TR,Spotted
Axis Deer,Trivial,Female,31.9591 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,42.7928 kg,0 TR,Spotted
Hog Deer,Trivial,Female,30.0962 kg,0 TR,Brown        
Axis Deer,Trivial,Female,32.597 kg,0 TR,Spotted
Axis Deer,Trivial,Female,34.2899 kg,0 TR,Spotted
Hog Deer,Trivial,Female,31.3074 kg,0 TR,Brown        
Hog Deer,Trivial,Female,32.8718 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,45.3543 kg,0 TR,Spotted
Hog Deer,Trivial,Female,30.6535 kg,0 TR,Brown        
Red Deer,Trivial,Female,141.197 kg,0 TR,Gray         
Axis Deer,Trivial,Female,33.8711 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,36.5019 kg,0 TR,Spotted
Hog Deer,Trivial,Female,30.4588 kg,0 TR,Brown        
Axis Deer,Trivial,Female,31.7054 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,43.9834 kg,0 TR,Spotted Red  
Fallow Deer,Trivial,Female,41.1252 kg,0 TR,Spotted
Hog Deer,Trivial,Female,29.0342 kg,0 TR,Brown        
Red Deer,Minor,Female,149.48 kg,0 TR,Gray         
Red Deer,Minor,Female,147.6 kg,0 TR,Gray         
Hog Deer,Trivial,Female,29.6088 kg,0 TR,Brown        
Red Deer,Trivial,Female,141.776 kg,0 TR,Brown        
Sambar,Trivial,Female,198.147 kg,0 TR,Dark Brown   
Red Deer,Trivial,Female,145.331 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,35.1599 kg,0 TR,Spotted Red  
Hog Deer,Trivial,Female,30.2873 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,37.1919 kg,0 TR,Spotted Red  
Axis Deer,Trivial,Female,34.7536 kg,0 TR,Spotted
Hog Deer,Trivial,Female,28.3128 kg,0 TR,Dark Spotted
Red Deer,Trivial,Female,142.002 kg,0 TR,Gray         
Axis Deer,Trivial,Female,31.5235 kg,0 TR,Piebald      
Hog Deer,Trivial,Female,32.0363 kg,0 TR,Brown        
Sambar,Trivial,Female,209.903 kg,0 TR,Light Brown  
Sambar,Trivial,Female,201.024 kg,0 TR,Light Brown  
Axis Deer,Trivial,Female,31.4692 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,36.0275 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,40.1148 kg,0 TR,Spotted
Axis Deer,Trivial,Female,30.9231 kg,0 TR,Orange       
Axis Deer,Trivial,Female,32.1738 kg,0 TR,Spotted
Hog Deer,Trivial,Female,32.5079 kg,0 TR,Spotted
Red Deer,Minor,Female,153.413 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,40.053 kg,0 TR,Spotted Red  
Fallow Deer,Trivial,Female,36.9455 kg,0 TR,Spotted Red  
Sambar,Trivial,Female,192.481 kg,0 TR,Brown        
Red Deer,Trivial,Female,122.98 kg,0 TR,Dark Brown   
Axis Deer,Trivial,Female,34.3839 kg,0 TR,Spotted
Hog Deer,Trivial,Female,30.7838 kg,0 TR,Brown        
Sambar,Trivial,Female,206.571 kg,0 TR,Brown        
Sambar,Trivial,Female,205.649 kg,0 TR,Light Brown  
Axis Deer,Trivial,Female,36.1484 kg,0 TR,Spotted
Hog Deer,Trivial,Female,29.0098 kg,0 TR,Brown        
Sambar,Trivial,Female,203.307 kg,0 TR,Dusky Gradient
Fallow Deer,Trivial,Female,37.6918 kg,0 TR,Dark Spotted
Axis Deer,Trivial,Female,32.9055 kg,0 TR,Spotted
Sambar,Trivial,Female,187.666 kg,0 TR,Light Brown  
Red Deer,Trivial,Female,144.033 kg,0 TR,Gray         
Axis Deer,Trivial,Female,34.9473 kg,0 TR,Orange       
Hog Deer,Trivial,Female,30.8627 kg,0 TR,Dark Spotted
Hog Deer,Trivial,Female,28.4926 kg,0 TR,Brown        
Hog Deer,Trivial,Female,29.1014 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,40.4859 kg,0 TR,Spotted
Red Deer,Trivial,Female,140.014 kg,0 TR,Brown        
Red Deer,Trivial,Female,143.965 kg,0 TR,Dark Brown   
Red Deer,Trivial,Female,140.067 kg,0 TR,Brown        
Red Deer,Minor,Female,155.363 kg,0 TR,Gray         
Sambar,Trivial,Female,202.433 kg,0 TR,Dusky Gradient
Fallow Deer,Trivial,Female,43.5674 kg,0 TR,Spotted Red  
Hog Deer,Trivial,Female,29.4667 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,43.1907 kg,0 TR,Spotted
Hog Deer,Trivial,Female,32.2701 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,42.8344 kg,0 TR,Spotted Red  
Fallow Deer,Trivial,Female,38.8483 kg,0 TR,Spotted
Red Deer,Trivial,Female,146.68 kg,0 TR,Gray         
Hog Deer,Trivial,Female,31.2392 kg,0 TR,Brown        
Red Deer,Minor,Female,150.468 kg,0 TR,Gray         
Fallow Deer,Trivial,Female,40.4771 kg,0 TR,Spotted
Red Deer,Trivial,Female,130.204 kg,0 TR,Gray         
Fallow Deer,Trivial,Female,38.84 kg,0 TR,Dark Spotted
Fallow Deer,Trivial,Female,44.2619 kg,0 TR,Spotted Red  
Sambar,Trivial,Female,203.917 kg,0 TR,Dusky Gradient
Axis Deer,Trivial,Female,33.7496 kg,0 TR,Orange       
Red Deer,Minor,Female,149.727 kg,0 TR,Gray         
Sambar,Minor,Female,220.706 kg,0 TR,Dusky Gradient
Hog Deer,Trivial,Female,28.6914 kg,0 TR,Brown        
Hog Deer,Trivial,Female,29.4935 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,42.8172 kg,0 TR,Dark Spotted
Fallow Deer,Trivial,Female,39.6582 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,43.1819 kg,0 TR,Spotted Red  
Red Deer,Minor,Female,150.747 kg,0 TR,Brown        
Sambar,Trivial,Female,204.131 kg,0 TR,Dusky Gradient
Fallow Deer,Trivial,Female,37.8186 kg,0 TR,Dark Spotted
Sambar,Trivial,Female,209.653 kg,0 TR,Brown        
Red Deer,Trivial,Female,133.527 kg,0 TR,Gray         
Hog Deer,Trivial,Female,30.7706 kg,0 TR,Brown        
Axis Deer,Trivial,Female,27.6593 kg,0 TR,Spotted
Hog Deer,Trivial,Female,29.3999 kg,0 TR,Brown        
Axis Deer,Trivial,Female,26.9842 kg,0 TR,Spotted
Hog Deer,Trivial,Female,32.2934 kg,0 TR,Brown        
Sambar,Trivial,Female,201.996 kg,0 TR,Light Brown  
Fallow Deer,Trivial,Female,43.8875 kg,0 TR,Dark Spotted
Red Deer,Trivial,Female,138.325 kg,0 TR,Dark Brown   
Sambar,Trivial,Female,202.478 kg,0 TR,Dusky Gradient
Hog Deer,Trivial,Female,28.8612 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,39.257 kg,0 TR,Spotted Red  
Red Deer,Trivial,Female,147.253 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,45.1174 kg,0 TR,Dark Spotted
Axis Deer,Trivial,Female,38.2764 kg,0 TR,Spotted
Red Deer,Minor,Female,152.492 kg,0 TR,Gray         
Hog Deer,Trivial,Female,29.6213 kg,0 TR,Brown        
Sambar,Trivial,Female,208.569 kg,0 TR,Brown        
Axis Deer,Trivial,Female,33.8744 kg,0 TR,Spotted
Red Deer,Trivial,Female,138.868 kg,0 TR,Gray         
Axis Deer,Trivial,Female,32.0298 kg,0 TR,Spotted
Sambar,Trivial,Female,194.597 kg,0 TR,Light Brown  
Fallow Deer,Trivial,Female,41.5199 kg,0 TR,Spotted
Red Deer,Trivial,Female,146.998 kg,0 TR,Gray         
Axis Deer,Trivial,Female,29.46 kg,0 TR,Spotted
Hog Deer,Trivial,Female,27.1203 kg,0 TR,Brown        
Sambar,Trivial,Female,202.169 kg,0 TR,Dark Brown   
Axis Deer,Trivial,Female,33.4944 kg,0 TR,Orange       
Sambar,Trivial,Female,198.639 kg,0 TR,Brown        
Axis Deer,Trivial,Female,33.5078 kg,0 TR,Orange       
Red Deer,Minor,Female,157.101 kg,0 TR,Brown        
Hog Deer,Trivial,Female,30.3646 kg,0 TR,Brown        
Red Deer,Minor,Female,151.431 kg,0 TR,Gray         
Hog Deer,Trivial,Female,31.0034 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,34.7138 kg,0 TR,Spotted Red  
Axis Deer,Trivial,Female,28.6698 kg,0 TR,Spotted
Red Deer,Trivial,Female,137.423 kg,0 TR,Brown        
Sambar,Trivial,Female,207.862 kg,0 TR,Dark Brown   
Red Deer,Trivial,Female,143.957 kg,0 TR,Dark Brown   
Axis Deer,Trivial,Female,29.1141 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,41.5342 kg,0 TR,Dark Spotted
Red Deer,Trivial,Female,138.82 kg,0 TR,Brown        
Red Deer,Trivial,Female,130.695 kg,0 TR,Dark Brown   
Axis Deer,Trivial,Female,40.5211 kg,0 TR,Spotted
Sambar,Trivial,Female,190.526 kg,0 TR,Dusky Gradient
Red Deer,Minor,Female,155.746 kg,0 TR,Brown        
Sambar,Trivial,Female,205.124 kg,0 TR,Dark Brown   
Hog Deer,Trivial,Female,30.2638 kg,0 TR,Brown        
Axis Deer,Trivial,Female,33.0001 kg,0 TR,Orange       
Axis Deer,Trivial,Female,30.8871 kg,0 TR,Orange       
Sambar,Trivial,Female,208.224 kg,0 TR,Light Brown  
Fallow Deer,Trivial,Female,39.5734 kg,0 TR,Dark Spotted
Red Deer,Minor,Female,150.994 kg,0 TR,Dark Brown   
Red Deer,Minor,Female,158.16 kg,0 TR,Gray         
Fallow Deer,Trivial,Female,46.6361 kg,0 TR,Dark Spotted
Sambar,Trivial,Female,213.337 kg,0 TR,Light Brown  
Sambar,Trivial,Female,195.562 kg,0 TR,Dark Brown   
Fallow Deer,Trivial,Female,42.2876 kg,0 TR,Spotted Red  
Red Deer,Trivial,Female,146.988 kg,0 TR,Gray         
Sambar,Trivial,Female,191.037 kg,0 TR,Brown        
Red Deer,Trivial,Female,138.076 kg,0 TR,Dark Brown   
Sambar,Trivial,Female,208.081 kg,0 TR,Dark Brown   
Sambar,Trivial,Female,200.594 kg,0 TR,Light Brown  
Sambar,Minor,Female,219.453 kg,0 TR,Light Brown  
Fallow Deer,Trivial,Female,43.9217 kg,0 TR,Dark Spotted
Sambar,Trivial,Female,202.506 kg,0 TR,Dark Brown   
Fallow Deer,Trivial,Female,39.4192 kg,0 TR,Spotted
Hog Deer,Trivial,Female,30.6599 kg,0 TR,Brown        
Axis Deer,Trivial,Female,34.6762 kg,0 TR,Spotted
Axis Deer,Trivial,Female,29.0233 kg,0 TR,Spotted
Red Deer,Trivial,Female,143.732 kg,0 TR,Gray         
Red Deer,Trivial,Female,144.709 kg,0 TR,Gray         
Sambar,Trivial,Female,204.537 kg,0 TR,Dark Brown   
Fallow Deer,Trivial,Female,39.7869 kg,0 TR,Spotted
Axis Deer,Trivial,Female,29.7025 kg,0 TR,Spotted
Hog Deer,Trivial,Female,27.4125 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,43.3383 kg,0 TR,Spotted
Axis Deer,Trivial,Female,29.6164 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,35.9693 kg,0 TR,Spotted Red  
Fallow Deer,Trivial,Female,39.7409 kg,0 TR,Spotted Red  
Red Deer,Trivial,Female,140.268 kg,0 TR,Gray         
Hog Deer,Trivial,Female,31.5826 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,36.746 kg,0 TR,Spotted Red  
Hog Deer,Trivial,Female,31.4828 kg,0 TR,Brown        
Hog Deer,Trivial,Female,29.6385 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,40.4005 kg,0 TR,Spotted Red  
Axis Deer,Trivial,Female,32.693 kg,0 TR,Spotted
Hog Deer,Trivial,Female,30.6621 kg,0 TR,Brown        
Red Deer,Minor,Female,153.977 kg,0 TR,Gray         
Hog Deer,Trivial,Female,32.3773 kg,0 TR,Brown        
Sambar,Trivial,Female,200.627 kg,0 TR,Dusky Gradient
Sambar,Trivial,Female,195.146 kg,0 TR,Light Brown  
Red Deer,Trivial,Female,138.724 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,39.3957 kg,0 TR,Spotted
Red Deer,Trivial,Female,144.585 kg,0 TR,Gray         
Sambar,Trivial,Female,193.99 kg,0 TR,Light Brown  
Axis Deer,Trivial,Female,32.1297 kg,0 TR,Spotted
Red Deer,Trivial,Female,136.714 kg,0 TR,Brown        
Sambar,Trivial,Female,195.889 kg,0 TR,Brown        
Sambar,Trivial,Female,210.434 kg,0 TR,Light Brown  
Fallow Deer,Trivial,Female,42.4536 kg,0 TR,Dark Spotted
Sambar,Trivial,Female,192.298 kg,0 TR,Brown        
Red Deer,Trivial,Female,145.227 kg,0 TR,Gray         
Hog Deer,Trivial,Female,31.241 kg,0 TR,Brown        
Sambar,Trivial,Female,197.098 kg,0 TR,Light Brown  
Fallow Deer,Trivial,Female,34.8275 kg,0 TR,Spotted Red  
Axis Deer,Trivial,Female,31.7559 kg,0 TR,Spotted
Hog Deer,Trivial,Female,28.3018 kg,0 TR,Brown        
Axis Deer,Trivial,Female,35.3797 kg,0 TR,Spotted
Sambar,Trivial,Female,199.841 kg,0 TR,Dark Brown   
Fallow Deer,Trivial,Female,48.3016 kg,0 TR,Spotted
Red Deer,Trivial,Female,141.43 kg,0 TR,Brown        
Sambar,Trivial,Female,204.655 kg,0 TR,Brown        
Sambar,Trivial,Female,190.158 kg,0 TR,Light Brown  
Red Deer,Minor,Female,151.531 kg,0 TR,Gray         
Hog Deer,Trivial,Female,29.6514 kg,0 TR,Dark Spotted
Red Deer,Minor,Female,152.409 kg,0 TR,Gray         
Red Deer,Minor,Female,148.123 kg,0 TR,Brown        
Axis Deer,Trivial,Female,32.7607 kg,0 TR,Spotted
Hog Deer,Trivial,Female,28.3988 kg,0 TR,Brown        
Red Deer,Trivial,Female,134.048 kg,0 TR,Gray         
Axis Deer,Trivial,Female,32.7066 kg,0 TR,Orange       
Red Deer,Trivial,Female,145.662 kg,0 TR,Brown        
Axis Deer,Trivial,Female,36.1726 kg,0 TR,Spotted
Red Deer,Minor,Female,152.034 kg,0 TR,Dark Brown   
Sambar,Trivial,Female,201.83 kg,0 TR,Light Brown  
Red Deer,Trivial,Female,142.518 kg,0 TR,Brown        
Axis Deer,Trivial,Female,34.5878 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,37.3336 kg,0 TR,Spotted Red  
Hog Deer,Trivial,Female,30.3426 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,40.6692 kg,0 TR,Dark Spotted
Red Deer,Trivial,Female,143.473 kg,0 TR,Gray         
Axis Deer,Trivial,Female,27.1158 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,39.5212 kg,0 TR,Spotted Red  
Fallow Deer,Trivial,Female,40.5219 kg,0 TR,Spotted Red  
Red Deer,Minor,Female,157.607 kg,0 TR,Dark Brown   
Sambar,Trivial,Female,199.178 kg,0 TR,Dusky Gradient
Fallow Deer,Trivial,Female,38.9346 kg,0 TR,Dark Spotted
Sambar,Trivial,Female,190.452 kg,0 TR,Dark Brown   
Fallow Deer,Trivial,Female,39.4106 kg,0 TR,Dark Spotted
Fallow Deer,Trivial,Female,39.3475 kg,0 TR,Dark Spotted
Sambar,Trivial,Female,197.04 kg,0 TR,Dusky Gradient
Hog Deer,Trivial,Female,28.538 kg,0 TR,Brown        
Red Deer,Trivial,Female,143.036 kg,0 TR,Gray         
Axis Deer,Trivial,Female,34.1412 kg,0 TR,Spotted
Red Deer,Minor,Female,147.721 kg,0 TR,Gray         
Hog Deer,Trivial,Female,29.4883 kg,0 TR,Brown        
Axis Deer,Trivial,Female,35.7048 kg,0 TR,Spotted
Sambar,Trivial,Female,193.739 kg,0 TR,Dark Brown   
Fallow Deer,Trivial,Female,43.9744 kg,0 TR,Spotted Red  
Sambar,Trivial,Female,214.871 kg,0 TR,Leucistic    
Axis Deer,Trivial,Female,28.9685 kg,0 TR,Spotted
Axis Deer,Trivial,Female,32.9064 kg,0 TR,Orange       
Fallow Deer,Trivial,Female,39.8004 kg,0 TR,Dark Spotted
Hog Deer,Trivial,Female,29.3812 kg,0 TR,Brown        
Sambar,Trivial,Female,209.728 kg,0 TR,Brown        
Hog Deer,Trivial,Female,30.3174 kg,0 TR,Brown        
Sambar,Trivial,Female,201.818 kg,0 TR,Dusky Gradient
Red Deer,Trivial,Female,137.811 kg,0 TR,Gray         
Axis Deer,Trivial,Female,36.4107 kg,0 TR,Spotted
Axis Deer,Trivial,Female,36.2638 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,35.1006 kg,0 TR,Dark Spotted
Fallow Deer,Trivial,Female,39.7793 kg,0 TR,Spotted Red  
Hog Deer,Trivial,Female,31.8146 kg,0 TR,Brown        
Axis Deer,Trivial,Female,32.0138 kg,0 TR,Spotted
Red Deer,Trivial,Female,136.962 kg,0 TR,Gray         
Fallow Deer,Trivial,Female,31.315 kg,0 TR,Spotted
Axis Deer,Trivial,Female,34.2368 kg,0 TR,Spotted
Axis Deer,Trivial,Female,34.5353 kg,0 TR,Spotted
Hog Deer,Trivial,Female,32.1081 kg,0 TR,Brown        
Sambar,Trivial,Female,210.112 kg,0 TR,Dark Brown   
Red Deer,Trivial,Female,140.247 kg,0 TR,Dark Brown   
Axis Deer,Trivial,Female,30.3488 kg,0 TR,Spotted
Red Deer,Trivial,Female,145.926 kg,0 TR,Gray         
Sambar,Trivial,Female,205.825 kg,0 TR,Brown        
Hog Deer,Trivial,Female,31.3682 kg,0 TR,Brown        
Red Deer,Minor,Female,149.028 kg,0 TR,Brown        
Hog Deer,Trivial,Female,30.9468 kg,0 TR,Brown        
Fallow Deer,Trivial,Female,40.9405 kg,0 TR,Spotted Red  
Sambar,Trivial,Female,191.819 kg,0 TR,Dark Brown   
Red Deer,Minor,Female,148.656 kg,0 TR,Gray         
Fallow Deer,Trivial,Female,34.8379 kg,0 TR,Spotted
Fallow Deer,Trivial,Female,41.5662 kg,0 TR,Spotted
Axis Deer,Trivial,Female,30.4508 kg,0 TR,Spotted
Red Deer,Trivial,Female,136.414 kg,0 TR,Gray         
Red Deer,Trivial,Female,144.565 kg,0 TR,Gray         
Axis Deer,Trivial,Female,34.3562 kg,0 TR,Spotted
Axis Deer,Trivial,Female,33.2724 kg,0 TR,Spotted
Red Deer,Trivial,Female,140.456 kg,0 TR,Gray         
Fallow Deer,Trivial,Female,39.9863 kg,0 TR,Spotted Red  
Sambar,Trivial,Female,202.503 kg,0 TR,Dusky Gradient
Fallow Deer,Trivial,Female,43.2226 kg,0 TR,Spotted
Red Deer,Trivial,Female,137.354 kg,0 TR,Gray         
Fallow Deer,Trivial,Female,41.2456 kg,0 TR,Spotted Red  
Fallow Deer,Trivial,Female,41.2737 kg,0 TR,Spotted Red  
Axis Deer,Trivial,Female,32.5961 kg,0 TR,Spotted
Sambar,Trivial,Female,209.056 kg,0 TR,Dark Brown   
Red Deer,Trivial,Female,139.861 kg,0 TR,Gray         
